id,FlightNum,Origin,Dest,DepTime1,ArrTime1
0,335,IAD,TPA,2008-01-03 20:03:00,2008-01-03 22:11:00
1,3231,IAD,TPA,2008-01-03 07:54:00,2008-01-03 10:02:00
2,448,IND,BWI,2008-01-03 06:28:00,2008-01-03 08:04:00
3,3920,IND,BWI,2008-01-03 18:29:00,2008-01-03 19:59:00
4,378,IND,JAX,2008-01-03 19:40:00,2008-01-03 21:21:00
5,509,IND,LAS,2008-01-03 19:37:00,2008-01-03 20:37:00
6,100,IND,MCO,2008-01-03 07:06:00,2008-01-03 09:16:00
7,1333,IND,MCO,2008-01-03 16:44:00,2008-01-03 18:45:00
8,2272,IND,MDW,2008-01-03 10:29:00,2008-01-04 10:21:00
9,675,IND,PHX,2008-01-03 14:52:00,2008-01-03 16:40:00
10,1144,IND,PHX,2008-01-03 07:54:00,2008-01-03 09:40:00
11,4,IND,TPA,2008-01-03 13:23:00,2008-01-03 15:26:00
12,54,ISP,BWI,2008-01-03 14:16:00,2008-01-03 15:12:00
13,623,ISP,BWI,2008-01-03 16:57:00,2008-01-03 17:54:00
14,717,ISP,BWI,2008-01-03 19:00:00,2008-01-03 19:56:00
15,1244,ISP,BWI,2008-01-03 10:39:00,2008-01-03 11:33:00
16,2553,ISP,BWI,2008-01-03 15:20:00,2008-01-03 16:19:00
17,188,ISP,FLL,2008-01-03 14:22:00,2008-01-03 16:57:00
18,1754,ISP,FLL,2008-01-03 19:54:00,2008-01-03 22:39:00
19,362,ISP,MCO,2008-01-03 21:07:00,2008-01-03 23:34:00
20,1397,ISP,MCO,2008-01-03 13:12:00,2008-01-03 15:46:00
21,3398,ISP,MCO,2008-01-03 14:49:00,2008-01-03 17:15:00
22,3480,ISP,MCO,2008-01-03 16:34:00,2008-01-03 18:59:00
23,422,ISP,MDW,2008-01-03 18:12:00,2008-01-03 19:27:00
24,1837,ISP,MDW,2008-01-03 11:27:00,2008-01-03 12:35:00
25,2871,ISP,MDW,2008-01-03 14:24:00,2008-01-03 15:31:00
26,1056,ISP,PBI,2008-01-03 13:26:00,2008-01-03 15:59:00
27,2175,ISP,PBI,2008-01-03 17:49:00,2008-01-03 20:19:00
28,3319,ISP,PBI,2008-01-03 07:26:00,2008-01-03 09:58:00
29,3667,ISP,RSW,2008-01-03 06:46:00,2008-01-03 09:29:00
30,2006,ISP,TPA,2008-01-03 11:53:00,2008-01-03 14:28:00
31,3858,ISP,TPA,2008-01-03 15:28:00,2008-01-03 18:02:00
32,3244,JAN,BWI,2008-01-03 14:50:00,2008-01-03 18:06:00
33,186,JAN,HOU,2008-01-03 22:45:00,2008-01-03 23:54:00
34,3154,JAN,HOU,2008-01-03 20:25:00,2008-01-03 21:35:00
35,1035,JAN,MCO,2008-01-03 10:38:00,2008-01-03 13:14:00
36,205,JAN,MDW,2008-01-03 19:00:00,2008-01-03 21:23:00
37,3430,JAX,BHM,2008-01-03 09:48:00,2008-01-03 09:59:00
38,1580,JAX,BNA,2008-01-03 06:46:00,2008-01-03 07:25:00
39,2195,JAX,BNA,2008-01-03 11:10:00,2008-01-03 11:36:00
