,Unnamed: 0.1,FlightNum,Origin,Dest,DepTime1,ArrTime1
92565,92565,2012,SJC,LAX,2008-01-01 22:28:00,2008-01-01 23:33:00
92566,92566,2285,SJC,LAX,2008-01-01 20:59:00,2008-01-01 22:12:00
92567,92567,2441,SJC,LAX,2008-01-01 18:08:00,2008-01-01 19:21:00
92568,92568,3048,SJC,LAX,2008-01-01 15:26:00,2008-01-01 16:37:00
92569,92569,3063,SJC,MDW,2008-01-01 15:52:00,2008-01-01 22:03:00
92570,92570,780,SJC,ONT,2008-01-01 16:34:00,2008-01-01 17:40:00
92571,92571,1276,SJC,ONT,2008-01-01 19:52:00,2008-01-01 20:57:00
92572,92572,3538,SJC,PDX,2008-01-01 22:26:00,2008-01-01 23:56:00
92573,92573,1415,SJC,PHX,2008-01-01 18:11:00,2008-01-01 20:54:00
92574,92574,3236,SJC,PHX,2008-01-01 19:31:00,2008-01-01 22:16:00
92575,92575,3344,SJC,PHX,2008-01-01 00:05:00,2008-01-01 02:47:00
92576,92576,2882,SJC,RNO,2008-01-01 11:38:00,2008-01-01 12:26:00
92577,92577,390,SJC,SAN,2008-01-01 22:17:00,2008-01-01 23:35:00
92578,92578,532,SJC,SAN,2008-01-01 20:13:00,2008-01-01 21:24:00
92579,92579,2922,SJC,SEA,2008-01-01 19:04:00,2008-01-01 20:57:00
92580,92580,824,SJC,SNA,2008-01-01 21:37:00,2008-01-01 22:43:00
92581,92581,1002,SJC,SNA,2008-01-01 13:47:00,2008-01-01 14:59:00
92582,92582,2028,SJC,SNA,2008-01-01 16:28:00,2008-01-01 17:37:00
92583,92583,3411,SJC,SNA,2008-01-01 17:50:00,2008-01-01 18:59:00
92584,92584,2882,SLC,ABQ,2008-01-01 15:44:00,2008-01-01 17:03:00
92585,92585,1283,SLC,BOI,2008-01-01 21:02:00,2008-01-01 22:03:00
92586,92586,410,SLC,DEN,2008-01-01 20:48:00,2008-01-01 22:09:00
92587,92587,933,SLC,GEG,2008-01-01 12:46:00,2008-01-01 13:18:00
92588,92588,2552,SLC,LAS,2008-01-01 21:34:00,2008-01-01 21:51:00
92589,92589,2377,SLC,LAX,2008-01-01 17:31:00,2008-01-01 18:14:00
92590,92590,401,SLC,MDW,2008-01-01 08:36:00,2008-01-01 12:50:00
92591,92591,851,SLC,MDW,2008-01-01 18:07:00,2008-01-01 22:17:00
92592,92592,130,SLC,OAK,2008-01-01 14:31:00,2008-01-01 15:21:00
