id,Unnamed: 0,FlightNum,Origin,Dest,Distance,DepTime1,ArrTime1
0,0,335,IAD,TPA,810,2008-01-03T20:03:00,2008-01-03T22:11:00
1,1,3231,IAD,TPA,810,2008-01-03T07:54:00,2008-01-03T10:02:00
2,2,448,IND,BWI,515,2008-01-03T06:28:00,2008-01-03T08:04:00
3,3,3920,IND,BWI,515,2008-01-03T18:29:00,2008-01-03T19:59:00
4,4,378,IND,JAX,688,2008-01-03T19:40:00,2008-01-03T21:21:00
5,5,509,IND,LAS,1591,2008-01-03T19:37:00,2008-01-03T20:37:00
6,6,100,IND,MCO,828,2008-01-03T07:06:00,2008-01-03T09:16:00
7,7,1333,IND,MCO,828,2008-01-03T16:44:00,2008-01-03T18:45:00
8,8,2272,IND,MDW,162,2008-01-03T10:29:00,2008-01-04T10:21:00
9,9,675,IND,PHX,1489,2008-01-03T14:52:00,2008-01-03T16:40:00
10,10,1144,IND,PHX,1489,2008-01-03T07:54:00,2008-01-03T09:40:00
11,11,4,IND,TPA,838,2008-01-03T13:23:00,2008-01-03T15:26:00
12,12,54,ISP,BWI,220,2008-01-03T14:16:00,2008-01-03T15:12:00
13,13,623,ISP,BWI,220,2008-01-03T16:57:00,2008-01-03T17:54:00
14,14,717,ISP,BWI,220,2008-01-03T19:00:00,2008-01-03T19:56:00
15,15,1244,ISP,BWI,220,2008-01-03T10:39:00,2008-01-03T11:33:00
16,16,2553,ISP,BWI,220,2008-01-03T15:20:00,2008-01-03T16:19:00
17,17,188,ISP,FLL,1093,2008-01-03T14:22:00,2008-01-03T16:57:00
18,18,1754,ISP,FLL,1093,2008-01-03T19:54:00,2008-01-03T22:39:00
19,19,362,ISP,MCO,972,2008-01-03T21:07:00,2008-01-03T23:34:00
20,20,1397,ISP,MCO,972,2008-01-03T13:12:00,2008-01-03T15:46:00
21,21,3398,ISP,MCO,972,2008-01-03T14:49:00,2008-01-03T17:15:00
22,22,3480,ISP,MCO,972,2008-01-03T16:34:00,2008-01-03T18:59:00
23,23,422,ISP,MDW,765,2008-01-03T18:12:00,2008-01-03T19:27:00
24,24,1837,ISP,MDW,765,2008-01-03T11:27:00,2008-01-03T12:35:00
